1 x || x 0
1 x || x 0
1 x || x 0
0 x || x 0
0 x || x 0
0 x || x 0
0 x || x 0
0 1 || x 0
0 1 || x 0
0 1 || x 0
0 1 || x 8
0 1 || x 8
0 1 || x24
0 1 || x24
0 1 || x56
0 0 || x56
0 0 || x 0
0 0 || 1 0
0 0 || 1 0
0 0 || 1 0
0 0 || 1 4
0 0 || 1 4
0 0 || 1 6
0 0 || 1 6
0 0 || 1 7
0 0 || 1 7
0 0 || 1 0
0 1 || 1 0
0 1 || 1 4
0 1 || 1 4
0 1 || 1 6
0 1 || 1 6
0 1 || 1 7
0 1 || 1 7
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 163
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 163
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 163
0 1 || 1 0
0 1 || 1 0
